City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,Xinqing,48.2333,129.5,60.55,96,100,2.1,CN,2022-06-22 19:41:20
235,Pangnirtung,66.1451,-65.7125,42.8,81,20,5.75,CA,2022-06-22 19:41:20
236,Nuevitas,21.5453,-77.2644,84.0,64,76,10.56,CU,2022-06-22 19:41:20
237,Khorixas,-20.3667,14.9667,53.2,30,0,5.37,NA,2022-06-22 19:41:21
238,Pevek,69.7008,170.3133,43.72,56,100,18.07,RU,2022-06-22 19:41:22
239,Thompson,55.7435,-97.8558,77.16,38,40,12.66,CA,2022-06-22 19:41:22
240,Salinas,36.6777,-121.6555,96.01,29,0,13.8,US,2022-06-22 19:37:00
241,Kruisfontein,-34.0033,24.7314,58.89,60,100,5.46,ZA,2022-06-22 19:41:23
242,Sakhon Nakhon,17.1612,104.1472,80.28,75,100,4.21,TH,2022-06-22 19:41:23
243,Namibe,-15.1961,12.1522,62.38,72,0,2.26,AO,2022-06-22 19:41:23
244,Djougou,9.7085,1.666,71.51,87,100,5.3,BJ,2022-06-22 19:41:24
245,Taltal,-25.4,-70.4833,59.68,54,100,4.38,CL,2022-06-22 19:41:24
246,Chimoio,-19.1164,33.4833,58.86,88,40,1.52,MZ,2022-06-22 19:41:25
247,Lavrentiya,65.5833,-171.0,41.4,95,100,8.14,RU,2022-06-22 19:41:25
248,Myitkyina,25.3833,97.4,75.13,98,100,1.14,MM,2022-06-22 19:41:26
249,Lagunillas,10.1301,-71.2595,87.1,63,74,8.68,VE,2022-06-22 19:41:26
250,Axim,4.8699,-2.2405,75.09,91,100,5.91,GH,2022-06-22 19:41:27
251,Monrovia,6.3005,-10.7969,80.37,82,99,7.81,LR,2022-06-22 19:36:59
252,Middle Island,40.8843,-72.9373,63.39,95,100,5.75,US,2022-06-22 19:41:27
253,Neiafu,-18.65,-173.9833,74.08,78,20,0.0,TO,2022-06-22 19:41:28
254,Bedford,52.1346,-0.4663,72.73,73,34,7.29,GB,2022-06-22 19:41:23
