City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Raga,SS,8.4596,25.678,70.48,83,54,4.34,broken clouds
143,Alice Springs,AU,-23.7,133.8833,62.15,45,0,11.5,clear sky
144,Amazar,RU,53.858,120.875,57.78,98,100,2.46,light rain
145,Yerbogachen,RU,61.2767,108.0108,72.75,42,35,6.49,scattered clouds
146,Tomatlan,MX,19.9333,-105.25,78.98,82,100,1.68,overcast clouds
147,Atar,MR,20.5169,-13.0499,90.54,32,3,9.62,clear sky
148,Bumba,CD,2.1833,22.4667,70.21,96,79,0.74,broken clouds
149,Neftcala,AZ,39.3742,49.2472,76.06,56,91,19.73,overcast clouds
150,Uhlove,UA,44.8215,33.6045,65.01,71,75,17.34,light rain
151,Victoria,HK,22.2855,114.1577,88.32,74,31,8.01,scattered clouds
152,Uglovskoye,RU,51.3557,80.1942,77.31,35,24,12.37,few clouds
153,Ouango,CF,4.3133,22.5552,68.99,99,100,1.63,overcast clouds
154,Adrar,MR,20.5022,-10.0711,88.05,30,0,11.39,clear sky
155,Mattawa,US,46.7379,-119.9028,87.8,22,17,15.99,few clouds
156,Deputatskiy,RU,69.3,139.9,48.47,35,13,16.78,few clouds
157,Saskylakh,RU,71.9167,114.0833,52.3,42,71,8.7,broken clouds
158,Kruisfontein,ZA,-34.0033,24.7314,56.88,60,92,6.44,overcast clouds
159,Gamba,GA,-2.65,10.0,67.82,91,4,4.12,clear sky
160,Marondera,ZW,-18.1853,31.5519,40.84,86,0,2.82,clear sky
161,Glenwood Springs,US,39.5505,-107.3248,83.21,43,40,6.91,scattered clouds
162,Anchorage,US,61.2181,-149.9003,80.85,42,40,13.8,scattered clouds
163,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
164,Sandwick,GB,60.0,-1.25,51.62,93,100,18.41,overcast clouds
165,Yebaishou,CN,41.3975,119.6408,80.51,47,0,6.42,clear sky
166,Klaksvik,FO,62.2266,-6.589,50.92,84,99,17.02,overcast clouds
167,Nizhniy Kuranakh,RU,58.8353,125.4869,68.25,59,80,8.5,broken clouds
168,Kenai,US,60.5544,-151.2583,76.03,38,0,13.8,clear sky
169,Maralal,KE,1.0968,36.698,56.98,77,96,5.03,overcast clouds
170,Mount Gambier,AU,-37.8333,140.7667,57.11,88,75,14.97,broken clouds
171,Nioro,GM,13.35,-15.75,83.75,71,51,5.12,broken clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,88,0,18.75,clear sky
173,Povenets,RU,62.8487,34.8262,51.82,79,100,4.27,overcast clouds
174,Karachi,PK,24.9056,67.0822,82.22,61,40,4.61,haze
175,Nalut,LY,30.3333,10.85,81.91,14,0,14.88,clear sky
176,Marawi,PH,7.9986,124.2928,81.79,60,71,0.78,broken clouds
177,Sicamous,CA,50.8331,-118.9856,77.97,43,34,7.87,scattered clouds
178,Kavaratti,IN,10.5669,72.642,81.72,80,100,18.75,light rain
179,Nailsea,GB,51.4324,-2.7585,64.42,77,9,2.3,clear sky
180,Talcahuano,CL,-36.7167,-73.1167,49.68,87,100,12.66,moderate rain
181,Berdigestyakh,RU,62.0989,126.6992,79.2,35,25,12.12,scattered clouds
182,Hay River,CA,60.8156,-115.7999,55.36,54,75,10.36,broken clouds
183,Grindavik,IS,63.8424,-22.4338,46.35,87,75,21.85,broken clouds
184,Fukuma,JP,33.7667,130.4667,89.29,71,27,14.47,scattered clouds
