City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
167,Nizhniy Kuranakh,RU,68.25,broken clouds,58.8353,125.4869,,Park Pobedy
168,Kenai,US,76.03,clear sky,60.5544,-151.2583,,Aspen Extended Stay Suites
169,Maralal,KE,56.98,overcast clouds,1.0968,36.698,,Ngari Hill Ecolodge
170,Mount Gambier,AU,57.11,broken clouds,-37.8333,140.7667,,The Commodore
171,Nioro,GM,83.75,broken clouds,13.35,-15.75,,
172,Arraial Do Cabo,BR,69.8,clear sky,-22.9661,-42.0278,,Pousada Porto Praia
173,Povenets,RU,51.82,overcast clouds,62.8487,34.8262,,Eko Otel' Bol'shaya Medveditsa
174,Karachi,PK,82.22,haze,24.9056,67.0822,,Sadaat
175,Nalut,LY,81.91,clear sky,30.3333,10.85,,
176,Marawi,PH,81.79,broken clouds,7.9986,124.2928,,Derogongan Residence
177,Sicamous,CA,77.97,scattered clouds,50.8331,-118.9856,,Best Western Sicamous Inn
178,Kavaratti,IN,81.72,light rain,10.5669,72.642,,Hotels in Lakshadweep Islands
179,Nailsea,GB,64.42,clear sky,51.4324,-2.7585,,The Old Smithy
180,Talcahuano,CL,49.68,moderate rain,-36.7167,-73.1167,,departamento comodo
181,Berdigestyakh,RU,79.2,scattered clouds,62.0989,126.6992,,
182,Hay River,CA,55.36,broken clouds,60.8156,-115.7999,,Ptarmigan Inn
183,Grindavik,IS,46.35,broken clouds,63.8424,-22.4338,,Northern Light Inn & Max's Restaurant
184,Fukuma,JP,89.29,scattered clouds,33.7667,130.4667,,Masago
185,Sampit,ID,80.46,overcast clouds,-2.5333,112.95,,Aquarius Boutique Hotel Sampit
186,Wau,SS,71.89,broken clouds,7.7029,27.9953,,Universal Gab Hotel
187,Bilibino,RU,64.26,overcast clouds,68.0546,166.4372,,Gostinitsa Severyanka
188,Chuy,UY,51.96,overcast clouds,-33.6971,-53.4616,,Nuevo Hotel Plaza
189,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,,"Radisson Blu Polar Hotel, Spitsbergen"
190,Vuktyl,RU,50.63,overcast clouds,63.8567,57.3094,,Mini-Hotel Lokomotiv
191,Komsomolskiy,UZ,70.52,light rain,40.4272,71.7189,,Ikathouse
192,Great Bend,US,76.03,broken clouds,38.3645,-98.7648,,Best Western Angus Inn
193,Geraldton,AU,61.21,clear sky,-28.7667,114.6,,Broadwater Mariner Resort
194,Abu Kamal,SY,80.78,clear sky,34.4506,40.9171,,البوكمال
195,Saint-Philippe,RE,63.99,light rain,-21.3585,55.7679,,"Chambres d'hôte ""La Trinité"""
196,Khatanga,RU,54.93,overcast clouds,71.9667,102.5,,"""Khatanga"""
197,Vila,PT,49.69,overcast clouds,42.0304,-8.1588,,Hotel Castrum Villae by Walk Hotels
198,Bastia,FR,75.29,clear sky,42.6667,9.3333,,Hotel Santa Maria
199,Yellowknife,CA,70.32,few clouds,62.456,-114.3525,,The Explorer Hotel
200,Bonavista,CA,52.14,broken clouds,48.6499,-53.1147,,Sweet Sharons bnb
201,Codajas,BR,76.23,overcast clouds,-3.8367,-62.0569,,Atlântic Hotel
202,Payo,ID,76.14,overcast clouds,-3.7508,103.6372,,Mess keban agung
203,Paralimni,CY,80.15,clear sky,35.0375,33.9833,,Amore Hotel Apartments
204,Mozarlandia,BR,71.65,few clouds,-14.7447,-50.5706,,Hotel Santa Mônica
205,Nikolayevka,RU,61.32,overcast clouds,53.1257,47.2041,,"Hotel ""Prestige"""
206,Atocha,BO,33.84,clear sky,-20.9333,-66.2333,,ALOJAMIENTO RESTAURANT BARQUITO
207,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,,Hotel Arena Blanca
208,Constitucion,CL,51.94,light rain,-35.3333,-72.4167,,Hotel Boutique Las Azucenas
209,Bima,ID,85.12,overcast clouds,-8.4667,118.7167,,Lambitu Hotel
210,Qaanaaq,GL,37.78,scattered clouds,77.484,-69.3632,,Qaanaaq Hotel
211,Trairi,BR,71.96,overcast clouds,-3.2778,-39.2689,,janelas do mar
212,Hokitika,NZ,50.31,overcast clouds,-42.7167,170.9667,,Beachfront Hotel Hokitika
213,Lahan,NP,86.65,clear sky,26.7296,86.4951,,Bhattarai Residence
214,Cumaral,CO,71.26,broken clouds,4.2708,-73.4867,,Finca El Jecho
215,Mezhdurechensk,RU,68.79,scattered clouds,53.6942,88.0603,,Apartments Mezhdurechensk
216,Sitrah,BH,91.36,clear sky,26.1547,50.6206,,Al Bander Resort
217,Hirara,JP,86.27,scattered clouds,24.8,125.2833,,Hotel Atoll Emerald Miyakojima
